date,open,high,low,close
2015-01-05,563.63,589.2,556.42,583.03
2015-01-06,582.73,618.07,577.62,595.37
2015-01-07,594.76,599.88,581.68,589.35
2015-01-08,592.51,607.55,589.95,593.56
2015-01-09,596.42,613.86,588.3,589.35
2015-01-12,586.94,608.0,578.97,604.54
2015-01-13,601.68,619.28,601.68,605.14
2015-01-14,604.54,610.55,588.15,588.9
2015-01-15,589.35,598.37,578.37,586.34
2015-01-16,584.69,589.35,580.48,585.14
2015-01-19,578.97,607.4,574.01,586.49
2015-01-20,581.23,597.02,579.73,592.36
2015-01-21,594.76,616.57,594.01,613.11
2015-01-22,613.56,640.33,613.56,631.16
2015-01-23,634.47,639.13,623.79,629.5
2015-01-26,629.8,645.14,629.35,638.22
2015-01-27,637.32,646.65,628.3,633.71
2015-01-28,628.75,636.87,616.57,618.83
2015-01-29,614.31,621.08,606.04,613.41
2015-01-30,616.12,622.28,604.54,612.21
2015-02-02,606.04,634.31,606.04,631.76
2015-02-03,639.13,640.33,619.58,622.89
2015-02-04,624.54,626.8,612.21,613.26
2015-02-05,616.57,620.78,601.53,603.34
2015-02-06,603.04,616.27,600.78,604.54
2015-02-09,613.56,619.58,603.04,614.16
2015-02-10,614.16,625.59,609.05,614.31
2015-02-11,615.07,623.34,612.21,619.43
2015-02-12,619.88,623.34,611.01,621.53
2015-02-13,624.39,625.44,604.84,609.95
2015-02-16,610.25,625.59,604.54,619.73
2015-02-17,621.83,627.1,620.63,621.98
2015-02-25,621.98,622.28,608.3,611.61
2015-02-26,610.55,615.37,606.04,613.56
2015-02-27,615.07,615.52,606.04,606.95
2015-03-02,608.9,609.2,597.02,601.53
2015-03-03,604.54,612.06,600.18,603.04
2015-03-04,608.9,631.61,604.69,629.2
2015-03-05,624.09,653.11,621.38,643.79
2015-03-06,645.14,647.25,628.75,636.57
2015-03-09,627.25,646.04,622.28,639.73
2015-03-10,634.92,651.91,634.92,647.25
2015-03-11,649.65,661.38,642.13,655.82
2015-03-12,656.12,666.5,645.44,646.35
2015-03-13,636.12,649.35,632.36,644.39
2015-03-16,644.39,653.41,632.81,646.35
2015-03-17,644.84,652.66,631.61,637.32
2015-03-18,637.17,646.95,630.1,646.65
2015-03-19,646.5,646.5,631.01,635.67
2015-03-20,634.92,663.19,625.29,663.04
2015-03-23,663.79,682.74,663.04,664.84
2015-03-24,662.14,663.79,643.64,657.32
2015-03-25,651.16,683.64,649.8,679.58
2015-03-26,676.57,690.41,669.2,680.03
2015-03-27,680.03,680.18,659.88,668.9
2015-03-30,669.2,684.24,660.18,678.83
2015-03-31,688.75,711.01,674.47,693.26
2015-04-01,693.11,739.58,691.46,728.91
2015-04-02,729.06,742.89,715.82,728.45
2015-04-03,723.04,734.62,716.72,733.27
2015-04-07,739.88,744.24,726.8,738.38
2015-04-08,738.53,757.63,733.87,741.09
2015-04-09,738.08,751.91,715.52,742.44
2015-04-10,741.39,777.48,736.88,769.81
2015-04-13,766.95,828.16,766.95,805.3
2015-04-14,805.6,835.38,788.01,797.63
2015-04-15,797.63,842.14,789.66,820.49
2015-04-16,827.11,886.81,813.57,828.61
2015-04-17,828.61,850.57,806.05,819.44
2015-04-20,849.66,872.07,804.7,808.61
2015-04-21,822.29,852.67,812.07,850.57
2015-04-22,853.72,897.48,853.72,875.08
2015-04-23,888.46,888.61,855.83,865.0
2015-04-24,849.66,875.08,839.44,856.58
2015-04-27,859.14,876.43,841.24,860.49
2015-04-28,844.4,857.18,834.62,834.93
2015-04-29,834.62,855.08,834.62,851.92
2015-04-30,857.18,866.05,851.92,857.33
2015-05-04,859.44,861.54,836.13,839.44
2015-05-05,841.99,870.57,839.44,855.98
2015-05-06,857.18,891.77,857.18,866.66
2015-05-07,861.99,872.22,842.14,849.06
2015-05-08,848.16,855.53,836.13,852.67
2015-05-11,852.67,880.19,834.62,873.72
2015-05-12,875.23,891.47,870.42,889.66
2015-05-13,890.27,907.71,870.87,875.53
2015-05-14,867.71,885.45,859.89,868.46
2015-05-15,869.21,873.42,836.28,843.05
2015-05-18,841.84,849.36,822.89,839.44
2015-05-19,838.84,856.88,821.09,852.67
2015-05-20,853.42,871.92,842.14,865.6
2015-05-21,866.21,897.18,857.18,896.58
2015-05-22,909.82,920.49,887.26,900.04
2015-05-25,896.28,912.52,882.45,906.96
2015-05-26,907.56,978.39,898.54,961.4
2015-05-27,954.93,1023.81,938.39,1011.32
2015-05-28,1000.05,1015.08,911.02,914.78
2015-05-29,916.88,964.86,902.6,943.65
2015-06-01,951.92,985.46,936.73,983.8
2015-06-02,984.26,986.51,939.89,964.1
2015-06-03,964.56,964.71,922.15,927.11
2015-06-04,932.07,935.38,850.72,892.07
2015-06-05,909.21,932.37,900.49,916.88
2015-06-08,916.88,916.88,873.87,892.97
2015-06-09,902.45,928.76,884.25,893.42
2015-06-10,893.27,930.57,885.6,920.04
2015-06-11,920.79,946.66,906.36,939.74
2015-06-12,939.74,947.11,918.09,939.44
2015-06-15,943.61,953.6,895.84,899.95
2015-06-16,882.13,902.69,846.3,855.89
2015-06-17,861.76,878.41,855.69,871.75
2015-06-18,861.76,870.18,834.16,838.66
2015-06-19,838.07,858.63,818.49,820.25
2015-06-23,822.41,890.94,793.04,886.44
2015-06-24,869.79,894.86,863.53,884.28
2015-06-25,884.09,884.09,828.87,832.78
