"track","code","n","beta","r2","se_ols","se_hc3","se_nw","p_ols","p_hc3","p_nw","alpha","p_alpha_ols","p_alpha_hc3","p_alpha_nw","bw_raw","lag_used"
"daily","600519",485,0.812221878796514,0.438712955784966,0.0418026099153509,0.0888330401819319,0.0818210279404775,1.46451919205074e-62,1.68812136990969e-18,2.9370736241022e-21,-0.000818242619517561,0.0940211628323558,0.085922483698702,0.0228091977238746,17.4962209289652,17
"weekly","600519",104,1.12946802413185,0.609333569923288,0.0895466511365312,0.313979552948739,0.21704257307061,1.52623234289544e-22,0.000497789513155024,1.01355741316787e-06,-0.00472993920542001,0.0388531386035024,0.0351074927968709,0.0290895154780048,2.66963568583097,2
"daily","600036",485,0.620352900262158,0.280537061137032,0.0452037374433085,0.0628998568172541,0.0854233059592078,1.99992993527216e-36,5.00970036146354e-21,1.53636373249277e-12,0.000678963458875373,0.198534515088243,0.200929271143312,0.179232843897928,11.6443845296383,11
"weekly","600036",104,0.688824267118162,0.360747766161447,0.0907909697401903,0.140241783188694,0.102880748393119,1.5854210769663e-11,3.44647343534964e-06,1.1927038125676e-09,0.00296903021094216,0.198025966864704,0.196713517833068,0.219168272381588,2.66994672935282,2
"daily","300750",485,1.61255772842624,0.520677892607552,0.0703997094054363,0.118438493675216,0.103123781390596,3.73394805244325e-79,5.85068974178704e-36,6.80077141709943e-45,0.000783318579005656,0.340675878020866,0.334079219117665,0.257122020139815,13.1916071174016,13
"weekly","300750",104,1.27353430154343,0.464915317939041,0.135280404279471,0.118516873113221,0.106070910296498,1.61344626821977e-15,1.8276466593773e-18,3.13946187938149e-21,0.00462982018996538,0.17811339336845,0.190682710235169,0.17064303922431,0.903488152034451,1
"daily","000333",485,0.562089538446371,0.191977876496613,0.052470834474461,0.0856235104413159,0.0951339473383867,3.60695433504983e-24,1.34839802232985e-10,6.52778441491504e-09,0.000589767420531356,0.335791764070038,0.344698360762886,0.278865455927276,9.05207223001847,9
"weekly","000333",104,0.401835946369472,0.144739818783085,0.0967172216747323,0.140949290738059,0.107703700290586,6.7820964675004e-05,0.00527637735119383,0.000313929749141071,0.00321210388453278,0.191184479787568,0.191664009176087,0.14141367948316,2.77900762449995,2
"daily","600276",485,0.982952209178121,0.316943407350605,0.0656593108472651,0.068300453455876,0.06985705040151,6.73956558549336e-42,2.46767476693648e-39,6.24456813390288e-38,-2.19200399012214e-05,0.977181970357504,0.977187888916102,0.976816052070006,3.2655550342687,3
"weekly","600276",104,0.943817991628045,0.297943698505789,0.143452141073017,0.13091397278996,0.141263144919184,2.0660054737535e-09,1.00699817078463e-10,1.27521464088849e-09,1.05359962298726e-05,0.997683917564785,0.997698208691104,0.997334184464085,4.881151514638,4
"daily","600900",485,0.111283579781266,0.0187147962194009,0.0366659208157197,0.0607668400491463,0.0395899982128525,0.00253456210177214,0.0676684561241278,0.00514105807655506,0.00036666085473677,0.391762709768416,0.391436345565573,0.384211555587294,13.5321344033124,13
"weekly","600900",104,0.146671295414801,0.0383691617940037,0.0727039617744168,0.0657881989974824,0.068670738497347,0.0462830305095111,0.0279769316041183,0.0350837091721843,0.00160794450644557,0.38295814553347,0.38658851226972,0.413208321078543,2.75053137287375,2
